lower abaisser
ruin abimer
like aimer
move bouger
brush brosser
change changer
sing chanter
search chercher
start commencer
correct corriger
dance danser
demand demander
hate detester
give donner
hear ecouter
erase effucer
study etudier
congratulate feliciter
celebrate feter
slide glisser
live habiter
play jouer
eat manger
miss manquer
walk marcher
climb monter
swim nager
talk parler
share partager
think penser
watch regarder
ski skier
work travailer
find trouver
visit visiter
travel voyager
abolish abolir
accomplish accomplir
act agir
increase agrandir
warn avertir
build batir
bless benir
lighten blanchir
choose choisir
convert convertir
define definir
establish establir
stun etourdir
finish finir
clear franchir
fatten grossir
cure guerir
invest invertir
thin maigrir
feed nourrir
obey obeir
punish punir
think reflecher
fill remplir
succeed reussir
blush rougir
seize saisir
age viellir
wait attendre
confuse confiondre
correspond correspondre
defend defendre
depend dependre
descend descendre
hear entendre
stretch etendre
melt fondre
bite mordre
hang pendre
lose perdre
claim pretendre
return rendre
spread repandre
answer repondre
suspend suspendre
twist tortre
sell vendre
smoke fumer
creep ramper
wash laver
fall tomber
love adorer
help aider
stop arreter
cost couter
shout crier
